gene,mean_rank,std_rank
LCE4A,14.2,9.431860898041277
LCE2A,18.4,5.238320341483518
KRT31,24.0,1.2649110640673518
PPP1R14BP2,41.4,4.31740662898458
FXYD6P2,42.2,4.166533331199932
RNA5S9,43.4,4.029888335921977
DMRTA1,45.4,5.851495535331118
TOP3BP1,46.2,10.067770358922575
RN7SKP271,47.2,10.02796090937734
FAM187B2P,49.8,8.97552226892675
ACER1,50.6,6.7111846942250075
TRBV5-1,51.4,14.961283367412035
AGBL5-AS1,51.6,5.535341001239219
CYP4F29P,51.8,18.903967837467352
IGLV5-48,52.2,4.707440918375928
SIAH2-AS1,53.6,17.6022725805505
POLD2P1,53.6,19.925862591115095
OVCH1-AS1,54.4,15.869467539901898
PKNOX2-AS1,55.0,15.658863304850707
C22orf31,56.2,14.729562111617577
