ranking,k,hits,drivers_in_panel,pvalue
Primary Tumor,10,0,0,
Primary Tumor,25,0,0,
Primary Tumor,50,0,0,
Primary Tumor,100,0,0,
Metastasis,10,0,0,
Metastasis,25,0,0,
Metastasis,50,0,0,
Metastasis,100,0,0,
Normal Tissue,10,0,0,
Normal Tissue,25,0,0,
Normal Tissue,50,0,0,
Normal Tissue,100,0,0,
Metastasis - Primary,10,0,0,
Metastasis - Primary,25,0,0,
Metastasis - Primary,50,0,0,
Metastasis - Primary,100,0,0,
Tumor - Normal,10,0,0,
Tumor - Normal,25,0,0,
Tumor - Normal,50,0,0,
Tumor - Normal,100,0,0,
[baseline] node degree,10,0,0,
[baseline] node degree,25,0,0,
[baseline] node degree,50,0,0,
[baseline] node degree,100,0,0,
