,Primary Tumor,Metastasis,Normal Tissue,Metastasis - Primary,Tumor - Normal
EVPL,3.000000124180474,2.9999999874932124,3.000000016163233,-1.3668726150939392e-07,3.967361017487292e-08
KRT15,3.0000000691055675,3.000000009162321,2.999999997100041,-5.994324636660053e-08,4.2033903024929486e-08
SPRR2D,3.0000000659373804,3.0000000070538557,2.999999995402515,-5.8883524722830316e-08,4.10931031424866e-08
KRT78,3.0000000646635576,2.999999995153178,3.000000006921227,-6.951037967439788e-08,2.2987140635422065e-08
CASP14,3.000000061489118,2.9999999999588187,2.999999995938059,-6.153029907807195e-08,3.478590926420111e-08
DDX3Y,3.0000000605359674,3.00000000788885,3.000000006714914,-5.26471173323273e-08,2.749749494768139e-08
LGALS7,3.000000048428774,3.0000000004498255,3.0000000043826947,-4.797894836983119e-08,2.00566048214057e-08
MMP1,3.0000000482990195,3.0000000009200165,3.0000000005308696,-4.7379002943159776e-08,2.407864840847651e-08
CXCL5,3.0000000465661287,2.999999999922314,3.0000000030024023,-4.664381458852063e-08,2.0241819331801025e-08
LCE1E,3.0000000463037395,2.9999999580660046,2.999999995439621,-8.823773489652353e-08,6.745251024398158e-09
LCE1F,3.000000044154149,3.0000000025113644,2.999999994776722,-4.164278433194113e-08,2.8556034425974985e-08
LCE2C,3.000000042787027,3.0000000305071746,3.000000016456526,-1.2279852246166456e-08,2.0190574545608797e-08
MAGEA6,3.0000000405901424,3.000000002251124,3.000000001641401,-3.8339018182398377e-08,1.9779232474093078e-08
KRT35,3.000000039780692,2.9999999960233326,2.9999999935150106,-4.375735951356319e-08,2.43870017513359e-08
SERPINB12,3.000000038346869,3.0000000038125973,3.0000000030673464,-3.453427144251009e-08,1.8012386693300186e-08
PCP4,3.0000000381842256,2.999999998399432,2.99999998971363,-3.978479368171861e-08,2.8578198474349392e-08
KRT17,3.0000000376172693,3.000000004687072,2.999999994209747,-3.293019723571433e-08,2.6942423847486907e-08
DSC3,3.0000000359529317,2.999999996527228,2.99999998807281,-3.942570359072306e-08,2.8167269849888044e-08
TYRP1,3.0000000349439992,2.9999999983750363,3.000000002958319,-3.65689629688859e-08,1.3701198842142048e-08
LCE6A,3.000000034828948,2.999999995431993,2.9999999983807477,-3.9396955031634207e-08,1.6749722941966638e-08
PLA2G2F,3.0000000347693763,3.0000000028487515,2.999999998215617,-3.192062481005564e-08,2.0593446503625046e-08
