ranking,rank,gene,score
Primary Tumor,0,CRCT1,3.00000002600882
Primary Tumor,1,LCE2C,3.0000000219581997
Primary Tumor,2,MAGEB6,3.0000000213984412
Primary Tumor,3,CCL11,3.000000019739813
Primary Tumor,4,SPRR2D,3.0000000184793048
Primary Tumor,5,CRYBB2,3.0000000172756245
Primary Tumor,6,LCE6A,3.000000015913933
Primary Tumor,7,DEFB4A,3.0000000154975917
Primary Tumor,8,ERVFRD-1,3.0000000147214707
Primary Tumor,9,LCE3D,3.0000000145459045
Primary Tumor,10,KRT1,3.000000011639127
Primary Tumor,11,IGKV2D-40,3.000000011001248
Primary Tumor,12,SFTA2,3.0000000093132257
Primary Tumor,13,DSG1,3.0000000089356034
Primary Tumor,14,LCE2A,3.000000008457973
Primary Tumor,15,LCE3A,3.0000000082671017
Primary Tumor,16,FLG2,3.0000000074151285
Primary Tumor,17,KRT6B,3.000000006422093
Primary Tumor,18,KRT2,3.0000000054219456
Primary Tumor,19,C1orf189,3.000000005192123
Metastasis,0,DEFB4A,3.000000012314518
Metastasis,1,MAGEB6,3.0000000117585053
Metastasis,2,LCE6A,3.0000000071779716
Metastasis,3,LGALS7,3.0000000071431154
Metastasis,4,LCE2D,3.0000000070362174
Metastasis,5,SFRP2,3.000000006366683
Metastasis,6,KRT6C,3.00000000561386
Metastasis,7,ITLN2,3.0000000051497824
Metastasis,8,FGF9,3.0000000050095568
Metastasis,9,TGM3,3.0000000048179594
Metastasis,10,SPRR2A,3.000000004618307
Metastasis,11,IGHV3-15,3.0000000045848116
Metastasis,12,KRT2,3.00000000427098
Metastasis,13,DEFB103A,3.0000000041882533
Metastasis,14,IGKV2D-40,3.0000000040523283
Metastasis,15,SPRR2G,3.0000000038263526
Metastasis,16,LCE4A,3.000000003373767
Metastasis,17,LCE3D,3.0000000028749736
Metastasis,18,LCE3E,3.0000000028120026
Metastasis,19,GAL,3.0000000026160407
Benign Nevus,0,IGLV10-54,3.000000024781279
Benign Nevus,1,KRT2,3.0000000215996305
Benign Nevus,2,LCE2D,3.000000021530989
Benign Nevus,3,IGHV3-15,3.0000000208940194
Benign Nevus,4,LCE3E,3.000000019976107
Benign Nevus,5,GJB3,3.0000000197602357
Benign Nevus,6,FLG2,3.0000000190940552
Benign Nevus,7,CCL11,3.000000017961606
Benign Nevus,8,CRCT1,3.0000000175551267
Benign Nevus,9,LCE3A,3.0000000166860015
Benign Nevus,10,LCE3D,3.000000014438229
Benign Nevus,11,PF4,3.0000000136221447
Benign Nevus,12,SFTA2,3.0000000121628703
Benign Nevus,13,LCE6A,3.0000000107378195
Benign Nevus,14,SOSTDC1,3.0000000087058414
Benign Nevus,15,PPBP,3.0000000083363494
Benign Nevus,16,KRT27,3.000000006880321
Benign Nevus,17,SLPI,3.0000000061548273
Benign Nevus,18,MAGEB6,3.0000000054259663
Benign Nevus,19,ITLN2,3.0000000051830127
Metastasis - Primary,0,DEFB103A,2.4305601087348805e-08
Metastasis - Primary,1,KRT6C,1.9982804300155976e-08
Metastasis - Primary,2,DEFB4B,1.531426674361569e-08
Metastasis - Primary,3,FLRT3,1.5237800798928447e-08
Metastasis - Primary,4,SPRR2A,1.4781524892981679e-08
Metastasis - Primary,5,ITLN2,1.4771971201810175e-08
Metastasis - Primary,6,SFRP2,1.4394786695959283e-08
Metastasis - Primary,7,SPRR2F,1.4099297729330829e-08
Metastasis - Primary,8,LCE5A,1.3460653480734663e-08
Metastasis - Primary,9,IGHV3-15,1.2250760406118388e-08
Metastasis - Primary,10,KRT27,1.1290683943343538e-08
Metastasis - Primary,11,LCE3E,1.0348542911486902e-08
Metastasis - Primary,12,GAL,9.577538317984136e-09
Metastasis - Primary,13,SPRR2G,8.635770321063774e-09
Metastasis - Primary,14,LCE2D,7.442901850396311e-09
Metastasis - Primary,15,LGALS7,7.407960467276098e-09
Metastasis - Primary,16,SLPI,7.025002357607946e-09
Metastasis - Primary,17,OLIG2,6.742149949445775e-09
Metastasis - Primary,18,LCE4A,6.0016516201244485e-09
Metastasis - Primary,19,CDSN,5.188462548488815e-09
Tumor - Normal,0,DEFB103B,4.606058690015402e-08
Tumor - Normal,1,SPRR2D,3.857669472751013e-08
Tumor - Normal,2,KRT79,3.448462715383016e-08
Tumor - Normal,3,LGALS7,3.011406102260139e-08
Tumor - Normal,4,SSX1,2.8692100251248576e-08
Tumor - Normal,5,KRT1,2.6902245764404142e-08
Tumor - Normal,6,TGM3,2.6163313293636747e-08
Tumor - Normal,7,CRYBB2,2.5386990287756817e-08
Tumor - Normal,8,SFRP2,1.851043496259308e-08
Tumor - Normal,9,TBX20,1.371544211536957e-08
Tumor - Normal,10,DEFB4A,1.2124394377366343e-08
Tumor - Normal,11,MAGEB6,1.115250691796632e-08
Tumor - Normal,12,ERVFRD-1,1.105177904747734e-08
Tumor - Normal,13,FGF9,1.0683085083229571e-08
Tumor - Normal,14,LCE5A,9.697218139592678e-09
Tumor - Normal,15,DSG1,9.643470466613735e-09
Tumor - Normal,16,AQP5,8.923486394252222e-09
Tumor - Normal,17,IGKV2D-40,8.822541364139624e-09
Tumor - Normal,18,GAL,7.869358054080067e-09
Tumor - Normal,19,KRT12,7.2362404957004856e-09
[baseline] node degree,0,SPRR2F,16.0
[baseline] node degree,1,CDSN,14.0
[baseline] node degree,2,SPRR2A,12.0
[baseline] node degree,3,LCE2C,9.0
[baseline] node degree,4,LCE3E,8.0
[baseline] node degree,5,LCE3D,7.0
[baseline] node degree,6,LCE6A,7.0
[baseline] node degree,7,SPRR2D,6.0
[baseline] node degree,8,LCE4A,6.0
[baseline] node degree,9,LCE2D,6.0
[baseline] node degree,10,KRT79,6.0
[baseline] node degree,11,LCE2A,6.0
[baseline] node degree,12,KRT2,5.0
[baseline] node degree,13,LOR,5.0
[baseline] node degree,14,SPRR2G,5.0
[baseline] node degree,15,FLG2,4.0
[baseline] node degree,16,PF4,4.0
[baseline] node degree,17,CCL11,4.0
[baseline] node degree,18,KRT6B,3.0
[baseline] node degree,19,IGLV10-54,3.0
