,Primary Tumor,Metastasis,Benign Nevus,Metastasis - Primary,Tumor - Normal
IGFL1,3.0000000324121068,3.0000000050821902,2.9999999948518963,-2.7329916552076838e-08,2.389525244339552e-08
KRT79,3.0000000286365482,2.9999999971189846,2.9999999742537784,-3.1517563670036e-08,3.862398800791311e-08
CDSN,3.0000000268814904,3.000000003959008,3.0000000230177966,-2.2922482578735526e-08,-7.597547480031608e-09
FGF9,3.0000000212648334,2.9999999975643097,2.9999999925772727,-2.3700523765768367e-08,1.68372986664167e-08
CARD18,3.00000001971792,3.0000000092177492,2.999999981050219,-1.0500170954941268e-08,3.3417615785680255e-08
TBX20,3.0000000165081513,3.0000000031332434,3.0000000057742,-1.3374907847918394e-08,4.046497359411205e-09
LCE2D,3.0000000116560326,3.000000000745488,3.000000029608601,-1.0910544467890304e-08,-2.3407840554767745e-08
KRT31,3.00000001164088,3.000000008398368,3.0000000138321736,-3.242512036649714e-09,-3.812549831394563e-09
ITLN2,3.0000000116019203,3.0000000020209368,2.9999999955296515,-9.580983562074152e-09,1.1281777290150785e-08
FLG2,3.000000011271839,2.9999999955357692,2.9999999794930545,-1.5736069780558637e-08,2.3910749824551658e-08
NPTX2,3.000000011135853,3.0000000028052,2.999999999720603,-8.33065305627656e-09,7.249923328345176e-09
LGALS7,3.0000000108977676,3.0000000009475665,3.0000000029744114,-9.950201107500334e-09,2.9482554175785936e-09
SOSTDC1,3.0000000081878775,2.9999999972293745,2.9999999960884454,-1.0958502993929642e-08,6.620180847960455e-09
GJB2,3.0000000077868916,3.0000000071453012,2.9999999959953128,-6.415903364143105e-10,1.1470783434219811e-08
POU3F3,3.000000007607418,3.0000000058457137,2.999999992986625,-1.7617041159212476e-09,1.3739941184809368e-08
SPRR2F,3.0000000072205304,2.999999999645829,3.000000006570977,-7.574701310630871e-09,-3.1377971332346988e-09
IGLV10-54,3.000000007204815,2.9999999970780307,3.0000000316649675,-1.0126784300013014e-08,-2.9523544498033516e-08
DEFB103B,3.0000000071659034,2.9999999992593156,3.0000000326894223,-7.906587828898637e-09,-2.9476812546391784e-08
C1orf189,3.000000006829699,3.000000005439138,2.9999999910593034,-1.3905609996811563e-09,1.5075114934148814e-08
SFTA2,3.0000000060277268,2.9999999964078183,2.9999999977691916,-9.61990842540672e-09,3.448580976339599e-09
OMP,3.0000000057172858,3.000000000575012,2.999999986961484,-5.142273717950729e-09,1.6184665163621048e-08
GJB3,3.000000005174014,2.9999999980327416,3.000000012665987,-7.1412724622632595e-09,-1.1062609051037953e-08
MAGEC1,3.0000000048862097,3.000000002878466,2.9999999992549418,-2.0077437490328975e-09,4.627396243961357e-09
MAGEB6,3.00000000436257,3.0000000031249034,2.9999999720603228,-1.237666413800298e-09,3.168341411452502e-08
DEFB4A,3.0000000043301447,2.9999999897408047,3.000000014901161,-1.4589339958348546e-08,-1.7865686707807527e-08
SPRR2D,3.000000002946112,2.9999999975317233,2.999999996827713,-5.4143884931079356e-09,3.4112042079925686e-09
DSG1,3.000000002884513,3.000000009514901,2.999999994272366,6.630387794359649e-09,1.1927340892725624e-08
LCE3E,3.0000000027935387,3.000000000738691,3.0000000035322683,-2.054847847432484e-09,-1.7661534457147354e-09
DEFB103A,3.0000000025452263,2.999999992028705,3.000000013411045,-1.0516521431469528e-08,-1.6124079404988834e-08
LCE2C,3.000000002332433,3.0000000029271217,2.999999973139265,5.946887426944159e-10,2.949051225442645e-08
SCGB1D2,3.0000000020728397,3.0000000062444636,2.999999994458631,4.171623935178559e-09,9.700020786596042e-09
LOR,3.0000000017748185,2.9999999983725703,2.999999970745648,-3.4022482608975224e-09,2.9328046213805692e-08
KRT2,3.0000000005946235,3.000000000923584,2.9999999798396,3.2896041446406343e-10,2.091950390692432e-08
SFRP2,3.000000000440643,2.999999994823997,2.999999997409164,-5.6166462591988875e-09,2.2315571612807616e-10
TRIM71,3.000000000160475,3.000000009520351,3.000000002188608,9.359875985381905e-09,2.6518054419000237e-09
LCE2A,3.0000000001260423,3.000000003465478,2.9999999812192697,3.3394358389671197e-09,2.057649028941455e-08
RN7SKP271,3.0,3.0,3.0,0.0,0.0
PKNOX2-AS1,3.0,3.0,3.0,0.0,0.0
OVCH1-AS1,3.0,3.0,3.0,0.0,0.0
