ranking,rank,gene,score
Primary Tumor,0,IGFL1,3.0000000324121068
Primary Tumor,1,KRT79,3.0000000286365482
Primary Tumor,2,CDSN,3.0000000268814904
Primary Tumor,3,FGF9,3.0000000212648334
Primary Tumor,4,CARD18,3.00000001971792
Primary Tumor,5,TBX20,3.0000000165081513
Primary Tumor,6,LCE2D,3.0000000116560326
Primary Tumor,7,KRT31,3.00000001164088
Primary Tumor,8,ITLN2,3.0000000116019203
Primary Tumor,9,FLG2,3.000000011271839
Primary Tumor,10,NPTX2,3.000000011135853
Primary Tumor,11,LGALS7,3.0000000108977676
Primary Tumor,12,SOSTDC1,3.0000000081878775
Primary Tumor,13,GJB2,3.0000000077868916
Primary Tumor,14,POU3F3,3.000000007607418
Primary Tumor,15,SPRR2F,3.0000000072205304
Primary Tumor,16,IGLV10-54,3.000000007204815
Primary Tumor,17,DEFB103B,3.0000000071659034
Primary Tumor,18,C1orf189,3.000000006829699
Primary Tumor,19,SFTA2,3.0000000060277268
Metastasis,0,TRIM71,3.000000009520351
Metastasis,1,DSG1,3.000000009514901
Metastasis,2,CARD18,3.0000000092177492
Metastasis,3,KRT31,3.000000008398368
Metastasis,4,LCE4A,3.000000007630178
Metastasis,5,GJB2,3.0000000071453012
Metastasis,6,SCGB1D2,3.0000000062444636
Metastasis,7,SPRR2A,3.0000000061043637
Metastasis,8,POU3F3,3.0000000058457137
Metastasis,9,C1orf189,3.000000005439138
Metastasis,10,IGFL1,3.0000000050821902
Metastasis,11,LCE3D,3.000000005054383
Metastasis,12,IGHV3-15,3.000000004680475
Metastasis,13,CDSN,3.000000003959008
Metastasis,14,LCE2A,3.000000003465478
Metastasis,15,TBX20,3.0000000031332434
Metastasis,16,MAGEB6,3.0000000031249034
Metastasis,17,LCE2C,3.0000000029271217
Metastasis,18,MAGEC1,3.000000002878466
Metastasis,19,NPTX2,3.0000000028052
Benign Nevus,0,DEFB103B,3.0000000326894223
Benign Nevus,1,IGLV10-54,3.0000000316649675
Benign Nevus,2,LCE2D,3.000000029608601
Benign Nevus,3,CRCT1,3.0000000268595373
Benign Nevus,4,CDSN,3.0000000230177966
Benign Nevus,5,LCE6A,3.0000000226538956
Benign Nevus,6,PF4,3.000000022226044
