gene_set,ranking,k,hits,set_size_in_panel,pvalue
melanocyte_lineage,Primary Tumor,10,0,4,1.0
melanocyte_lineage,Primary Tumor,25,0,4,1.0
melanocyte_lineage,Primary Tumor,50,0,4,1.0
melanocyte_lineage,Primary Tumor,100,2,4,0.05195854946449415
melanocyte_lineage,Metastasis,10,0,4,1.0
melanocyte_lineage,Metastasis,25,0,4,1.0
melanocyte_lineage,Metastasis,50,0,4,1.0
melanocyte_lineage,Metastasis,100,0,4,1.0
melanocyte_lineage,Normal Tissue,10,0,4,1.0
melanocyte_lineage,Normal Tissue,25,1,4,0.0964514569544087
melanocyte_lineage,Normal Tissue,50,1,4,0.18575153928327678
melanocyte_lineage,Normal Tissue,100,1,4,0.3443383337468398
melanocyte_lineage,Metastasis - Primary,10,0,4,1.0
melanocyte_lineage,Metastasis - Primary,25,0,4,1.0
melanocyte_lineage,Metastasis - Primary,50,0,4,1.0
melanocyte_lineage,Metastasis - Primary,100,1,4,0.3443383337468398
melanocyte_lineage,Tumor - Normal,10,0,4,1.0
melanocyte_lineage,Tumor - Normal,25,0,4,1.0
melanocyte_lineage,Tumor - Normal,50,0,4,1.0
melanocyte_lineage,Tumor - Normal,100,1,4,0.3443383337468398
melanocyte_lineage,[baseline] node degree,10,0,4,1.0
melanocyte_lineage,[baseline] node degree,25,0,4,1.0
melanocyte_lineage,[baseline] node degree,50,0,4,1.0
melanocyte_lineage,[baseline] node degree,100,0,4,1.0
melanoma_progression,Primary Tumor,10,0,1,1.0
melanoma_progression,Primary Tumor,25,0,1,1.0
melanoma_progression,Primary Tumor,50,0,1,1.0
melanoma_progression,Primary Tumor,100,0,1,1.0
melanoma_progression,Metastasis,10,0,1,1.0
melanoma_progression,Metastasis,25,0,1,1.0
melanoma_progression,Metastasis,50,0,1,1.0
melanoma_progression,Metastasis,100,0,1,1.0
melanoma_progression,Normal Tissue,10,0,1,1.0
melanoma_progression,Normal Tissue,25,0,1,1.0
melanoma_progression,Normal Tissue,50,0,1,1.0
melanoma_progression,Normal Tissue,100,0,1,1.0
melanoma_progression,Metastasis - Primary,10,0,1,1.0
melanoma_progression,Metastasis - Primary,25,0,1,1.0
melanoma_progression,Metastasis - Primary,50,0,1,1.0
melanoma_progression,Metastasis - Primary,100,0,1,1.0
melanoma_progression,Tumor - Normal,10,0,1,1.0
melanoma_progression,Tumor - Normal,25,0,1,1.0
melanoma_progression,Tumor - Normal,50,0,1,1.0
melanoma_progression,Tumor - Normal,100,0,1,1.0
melanoma_progression,[baseline] node degree,10,0,1,1.0
melanoma_progression,[baseline] node degree,25,0,1,1.0
melanoma_progression,[baseline] node degree,50,0,1,1.0
melanoma_progression,[baseline] node degree,100,0,1,1.0
immune_infiltrate,Primary Tumor,10,0,2,1.0
immune_infiltrate,Primary Tumor,25,0,2,1.0
immune_infiltrate,Primary Tumor,50,0,2,1.0
immune_infiltrate,Primary Tumor,100,0,2,1.0
immune_infiltrate,Metastasis,10,0,2,1.0
immune_infiltrate,Metastasis,25,1,2,0.049399399399399406
immune_infiltrate,Metastasis,50,1,2,0.09754754754754755
immune_infiltrate,Metastasis,100,2,2,0.00990990990990991
immune_infiltrate,Normal Tissue,10,0,2,1.0
immune_infiltrate,Normal Tissue,25,0,2,1.0
immune_infiltrate,Normal Tissue,50,0,2,1.0
immune_infiltrate,Normal Tissue,100,1,2,0.1900900900900901
immune_infiltrate,Metastasis - Primary,10,0,2,1.0
immune_infiltrate,Metastasis - Primary,25,0,2,1.0
immune_infiltrate,Metastasis - Primary,50,1,2,0.09754754754754755
immune_infiltrate,Metastasis - Primary,100,2,2,0.00990990990990991
immune_infiltrate,Tumor - Normal,10,0,2,1.0
immune_infiltrate,Tumor - Normal,25,0,2,1.0
immune_infiltrate,Tumor - Normal,50,0,2,1.0
immune_infiltrate,Tumor - Normal,100,1,2,0.1900900900900901
immune_infiltrate,[baseline] node degree,10,0,2,1.0
immune_infiltrate,[baseline] node degree,25,0,2,1.0
immune_infiltrate,[baseline] node degree,50,2,2,0.0024524524524524526
