,Primary Tumor,Metastasis,Normal Tissue,Metastasis - Primary,Tumor - Normal
POF1B,3.000000026675648,2.9999999952314917,3.000000000846733,-3.144415616773699e-08,1.0106836700884969e-08
KRT2,3.0000000245324054,3.0000000060432646,3.0000000064004007,-1.848914088498077e-08,8.887434344018175e-09
KRT78,3.0000000225625993,3.000000000249213,3.0000000003713274,-2.2313386249805944e-08,1.1034579028290636e-08
KRT25,3.0000000218277005,2.999999996793602,2.9999999981832217,-2.5034098349863143e-08,1.1127429644375297e-08
EVPL,3.000000020956276,2.999999972427505,3.0000000020940094,-4.852877077965445e-08,-5.402118752328988e-09
MAGEA3,3.0000000198104644,2.9999999988688595,3.000000003933474,-2.0941604894630927e-08,5.406187941758844e-09
ALOX12B,3.000000019339805,3.000000000407065,2.9999999998693236,-1.893273982034316e-08,1.0004111317130082e-08
KRT17,3.000000019233693,3.000000008468487,2.999999998360345,-1.0765206059915045e-08,1.5490745131074846e-08
S100A14,3.0000000188419436,3.000000000278248,2.9999999973591347,-1.856369546970882e-08,1.2200961130304222e-08
IGHV3-15,3.0000000175917005,3.000000007957268,3.000000006216912,-9.634432363014866e-09,6.5575727070665835e-09
KRT35,3.000000016762253,2.99999999807294,3.000000006468534,-1.8689312764053057e-08,9.490621621921491e-10
TPSB2,3.0000000162420273,3.000000004156677,3.000000000093023,-1.2085350498125536e-08,1.010632910691811e-08
SPRR2G,3.000000015045102,3.00000000999001,2.9999999998338382,-5.0550919006298045e-09,1.268371763174514e-08
LCE1E,3.0000000147461843,2.9999999936043347,3.0000000007790324,-2.114184960433363e-08,3.3962268553011654e-09
KRT6A,3.000000014507448,3.0000000001575566,3.0000000003540244,-1.4349891497289491e-08,6.9784782397164236e-09
FGF5,3.000000014276363,3.0000000064816112,3.0000000019408293,-7.794751955003676e-09,8.438158172197063e-09
IGKV2D-29,3.00000001413807,2.999999998824223,3.0000000031221132,-1.5313846635223172e-08,3.359033051708593e-09
KRT71,3.0000000141151384,3.000000002901888,3.0000000012472596,-1.1213250328268032e-08,7.2612533763560805e-09
LY6G6C,3.0000000139500234,3.000000006129098,3.0000000010760597,-7.820925240764609e-09,8.963501052505762e-09
CELA2A,3.0000000136021705,3.000000000601767,2.9999999970701356,-1.3000403420448947e-08,1.0031833141965762e-08
TPSAB1,3.0000000130834104,3.000000002338324,2.999999997795894,-1.0745086154173578e-08,9.914973286839768e-09
SPRR1A,3.000000012900418,3.0000000021843025,3.0000000001197686,-1.0716115550479799e-08,7.422591874473028e-09
KRT16,3.0000000123700863,3.0000000056962826,2.9999999998977747,-6.6738037318714305e-09,9.135409761995561e-09
CXCL9,3.0000000122246067,3.00000000342368,3.000000002637833,-8.800926654117802e-09,5.1863100480886715e-09
XAGE1A,3.000000012078399,2.999999998500423,2.999999999822976,-1.3577976076817322e-08,5.466435304413153e-09
KRT15,3.0000000120467702,2.9999999955115912,2.9999999987171013,-1.6535179003795974e-08,5.062079200257585e-09
SERPINB5,3.000000012045941,3.000000003056102,3.0000000018495587,-8.98983909536355e-09,5.701462857388151e-09
KRTAP9-3,3.0000000120297123,3.0000000101968656,3.0000000081905593,-1.8328467632500178e-09,2.922729613885622e-09
USP9Y,3.000000011988301,2.9999999961452968,3.0000000000986713,-1.5843004241844483e-08,3.968127604281335e-09
