query_idx,query_id,query_class,rank,neighbor_id,neighbor_class,cosine,same_class
0,GTEX-ZF29-0926-SM-4WKFZ,Normal Tissue,0,GTEX-U8XE-0226-SM-4E3J3,Normal Tissue,0.9993840456008911,True
0,GTEX-ZF29-0926-SM-4WKFZ,Normal Tissue,1,GTEX-OHPL-0126-SM-2HMJ7,Normal Tissue,0.9993282556533813,True
0,GTEX-ZF29-0926-SM-4WKFZ,Normal Tissue,2,GTEX-ZVT2-2526-SM-51MT1,Normal Tissue,0.9991471171379089,True
0,GTEX-ZF29-0926-SM-4WKFZ,Normal Tissue,3,GTEX-117XS-2726-SM-5N9BL,Normal Tissue,0.9990449547767639,True
0,GTEX-ZF29-0926-SM-4WKFZ,Normal Tissue,4,GTEX-ZDXO-3026-SM-5J1N5,Normal Tissue,0.9989615678787231,True
0,GTEX-ZF29-0926-SM-4WKFZ,Normal Tissue,5,GTEX-QDT8-0126-SM-48TZ1,Normal Tissue,0.9989469051361084,True
0,GTEX-ZF29-0926-SM-4WKFZ,Normal Tissue,6,GTEX-1192X-0226-SM-5H12D,Normal Tissue,0.9989146590232849,True
0,GTEX-ZF29-0926-SM-4WKFZ,Normal Tissue,7,GTEX-13JUV-2026-SM-5K7UA,Normal Tissue,0.9988622665405273,True
0,GTEX-ZF29-0926-SM-4WKFZ,Normal Tissue,8,GTEX-ZE7O-0126-SM-57WC1,Normal Tissue,0.9987781643867493,True
0,GTEX-ZF29-0926-SM-4WKFZ,Normal Tissue,9,GTEX-X5EB-2226-SM-46MW4,Normal Tissue,0.9987369775772095,True
1,GTEX-TSE9-0126-SM-3DB83,Normal Tissue,0,GTEX-TML8-1926-SM-32QOS,Normal Tissue,0.9997316598892212,True
1,GTEX-TSE9-0126-SM-3DB83,Normal Tissue,1,GTEX-OHPM-0126-SM-2YUN9,Normal Tissue,0.9996719360351562,True
1,GTEX-TSE9-0126-SM-3DB83,Normal Tissue,2,GTEX-RVPU-2226-SM-2XCAQ,Normal Tissue,0.9995675683021545,True
1,GTEX-TSE9-0126-SM-3DB83,Normal Tissue,3,GTEX-QESD-1426-SM-2S1R9,Normal Tissue,0.9995241761207581,True
1,GTEX-TSE9-0126-SM-3DB83,Normal Tissue,4,GTEX-13PVR-2326-SM-5QGR1,Normal Tissue,0.9995145797729492,True
1,GTEX-TSE9-0126-SM-3DB83,Normal Tissue,5,GTEX-X585-0226-SM-4QAS2,Normal Tissue,0.9994840621948242,True
1,GTEX-TSE9-0126-SM-3DB83,Normal Tissue,6,GTEX-RU72-0926-SM-2TF6B,Normal Tissue,0.9994199275970459,True
1,GTEX-TSE9-0126-SM-3DB83,Normal Tissue,7,GTEX-RNOR-0126-SM-2TF57,Normal Tissue,0.9994036555290222,True
1,GTEX-TSE9-0126-SM-3DB83,Normal Tissue,8,GTEX-13X6J-0126-SM-5QGOU,Normal Tissue,0.9994020462036133,True
1,GTEX-TSE9-0126-SM-3DB83,Normal Tissue,9,GTEX-11P7K-2126-SM-5GU7G,Normal Tissue,0.9993953704833984,True
2,GTEX-12WSK-2326-SM-5GCOH,Normal Tissue,0,GTEX-145LV-2126-SM-5LU8N,Normal Tissue,0.999756932258606,True
2,GTEX-12WSK-2326-SM-5GCOH,Normal Tissue,1,GTEX-145MN-2226-SM-5SIAU,Normal Tissue,0.999613881111145,True
