idx,sample_id,y_true,y_pred,true_label,pred_label,confidence,correct,pseudotime
498,GTEX-RVPU-0008-SM-3NM8B,2,2,Normal Tissue,Normal Tissue,0.821414589881897,True,0.52555215
675,GTEX-ZAJG-0126-SM-5HL94,2,2,Normal Tissue,Normal Tissue,0.9992899894714355,True,0.053236816
779,GTEX-13VXU-0626-SM-5L3F9,2,2,Normal Tissue,Normal Tissue,0.9849700927734376,True,0.16913563
1102,GTEX-PSDG-0008-SM-48TE5,2,2,Normal Tissue,Normal Tissue,0.9874279499053956,True,0.3320023
668,GTEX-ZE9C-2526-SM-5IJDR,2,2,Normal Tissue,Normal Tissue,0.9596814513206482,True,0.19315252
234,GTEX-X5EB-0008-SM-46MU3,2,2,Normal Tissue,Normal Tissue,0.9880241751670836,True,0.41529244
366,GTEX-WEY5-0008-SM-4LMKC,2,2,Normal Tissue,Normal Tissue,0.99178546667099,True,0.39791426
66,GTEX-Z93S-0008-SM-4RGM5,2,2,Normal Tissue,Normal Tissue,0.8980344533920288,True,0.47756016
999,GTEX-12WSB-2926-SM-59HKL,2,2,Normal Tissue,Normal Tissue,0.9496067762374878,True,0.2126279
1013,TCGA-D3-A8GR-06,1,1,Metastasis,Metastasis,0.7919310927391052,True,0.85873103
315,GTEX-WFG7-0008-SM-4LMKB,2,2,Normal Tissue,Normal Tissue,0.9983635544776917,True,0.28463417
578,TCGA-EB-A1NK-01,0,0,Primary Tumor,Primary Tumor,0.7674819827079773,True,0.4585574
299,GTEX-UJMC-0008-SM-4IHKK,2,2,Normal Tissue,Normal Tissue,0.9666255116462708,True,0.44710544
357,GTEX-Y5LM-1926-SM-5RQJH,2,2,Normal Tissue,Normal Tissue,0.99924635887146,True,0.03187259
1092,GTEX-1399S-0126-SM-5IJCF,2,2,Normal Tissue,Normal Tissue,0.998785436153412,True,0.07892178
541,GTEX-Y9LG-0008-SM-4VBRJ,2,2,Normal Tissue,Normal Tissue,0.8352952003479004,True,0.48928955
189,GTEX-T5JC-0426-SM-32PLO,2,2,Normal Tissue,Normal Tissue,0.9907442927360536,True,0.0643505
633,GTEX-XK95-0226-SM-4AT58,2,2,Normal Tissue,Normal Tissue,0.9882678389549256,True,0.10307736
68,GTEX-XUW1-0926-SM-4BONX,2,2,Normal Tissue,Normal Tissue,0.9953351616859436,True,0.076528125
812,TCGA-EE-A29B-06,1,1,Metastasis,Metastasis,0.7550477981567383,True,0.80311865
1168,GTEX-X62O-0126-SM-4E3JN,2,2,Normal Tissue,Normal Tissue,0.995574116706848,True,0.11873705
1113,TCGA-YG-AA3P-06,1,1,Metastasis,Metastasis,0.837643027305603,True,0.84766
24,GTEX-T6MO-1626-SM-32QOM,2,2,Normal Tissue,Normal Tissue,0.999464213848114,True,0.016772788
939,GTEX-YECK-0326-SM-4W1YS,2,2,Normal Tissue,Normal Tissue,0.8487195372581482,True,0.24978597
0,GTEX-ZF29-0926-SM-4WKFZ,2,2,Normal Tissue,Normal Tissue,0.9947807192802428,True,0.11272071
395,TCGA-D3-A2JN-06,1,1,Metastasis,Metastasis,0.8545522689819336,True,0.6578955
853,TCGA-ER-A19N-06,1,1,Metastasis,Metastasis,0.5329305529594421,True,0.60506654
126,TCGA-GN-A262-06,1,1,Metastasis,Metastasis,0.8545934557914734,True,0.8696793
609,GTEX-ZXG5-2126-SM-59HKD,2,2,Normal Tissue,Normal Tissue,0.9959539175033568,True,0.046522375
968,GTEX-RTLS-0008-SM-48FET,2,2,Normal Tissue,Normal Tissue,0.9856584668159484,True,0.36308363
232,GTEX-111VG-0008-SM-5Q5BG,2,2,Normal Tissue,Normal Tissue,0.9889004230499268,True,0.3751078
705,GTEX-145LS-0126-SM-5QGP1,2,2,Normal Tissue,Normal Tissue,0.9971809387207032,True,0.08485841
