gene,mean_rank,std_rank
LCE5A,29.6,23.431602591372194
KRT25,36.2,25.678006153126454
CRCT1,39.6,15.994999218505765
DDX3Y,40.6,30.309074548722204
LCE2D,45.0,17.832554500127006
FGFBP1,46.8,24.103111832292527
XAGE1A,50.6,27.59420228961149
UBD,57.0,23.15167380558045
PGLYRP4,64.4,8.73155198117723
RP11-351I24.3,103.0,18.40652058374966
WNT7B,104.4,12.208193969625484
NTF4,105.4,18.821264569629744
TIMM8AP1,105.4,18.423897524682445
CTC-327F10.5,105.6,17.738094598913378
IGLV1-36,106.0,16.45600194457937
AL928768.3,106.0,15.479018056711478
MT1P3,106.2,14.931845163944072
FETUB,106.8,10.43839068055991
LINC00958,107.0,8.740709353364863
RPL23AP21,108.0,17.08800749063506
