ranking,rank,gene,score
Primary Tumor,0,EVPL,3.000000124180474
Primary Tumor,1,KRT15,3.0000000691055675
Primary Tumor,2,SPRR2D,3.0000000659373804
Primary Tumor,3,KRT78,3.0000000646635576
Primary Tumor,4,CASP14,3.000000061489118
Primary Tumor,5,DDX3Y,3.0000000605359674
Primary Tumor,6,LGALS7,3.000000048428774
Primary Tumor,7,MMP1,3.0000000482990195
Primary Tumor,8,CXCL5,3.0000000465661287
Primary Tumor,9,LCE1E,3.0000000463037395
Primary Tumor,10,LCE1F,3.000000044154149
Primary Tumor,11,LCE2C,3.000000042787027
Primary Tumor,12,MAGEA6,3.0000000405901424
Primary Tumor,13,KRT35,3.000000039780692
Primary Tumor,14,SERPINB12,3.000000038346869
Primary Tumor,15,PCP4,3.0000000381842256
Primary Tumor,16,KRT17,3.0000000376172693
Primary Tumor,17,DSC3,3.0000000359529317
Primary Tumor,18,TYRP1,3.0000000349439992
Primary Tumor,19,LCE6A,3.000000034828948
Metastasis,0,LCE2C,3.0000000305071746
Metastasis,1,FGF5,3.0000000253118437
Metastasis,2,RPTN,3.0000000243027953
Metastasis,3,LGALS7B,3.0000000230994135
Metastasis,4,LCE2B,3.0000000204117314
Metastasis,5,SPRR2A,3.0000000197485135
Metastasis,6,NLGN4Y,3.0000000186743874
Metastasis,7,PDZK1IP1,3.000000017695129
Metastasis,8,SOSTDC1,3.0000000174295627
Metastasis,9,SPRR2B,3.0000000167651906
Metastasis,10,XAGE1A,3.0000000155166218
Metastasis,11,KRTAP4-7,3.0000000144491024
Metastasis,12,PF4,3.0000000139822505
Metastasis,13,KRT2,3.0000000134656752
Metastasis,14,CALML5,3.0000000134386036
Metastasis,15,LCE3D,3.0000000133638136
Metastasis,16,FAM83F,3.000000013297215
Metastasis,17,IGHV1-3,3.0000000132493585
Metastasis,18,PRSS2,3.0000000131811464
Metastasis,19,LIPN,3.0000000131480835
Normal Tissue,0,LCE2B,3.000000025958958
Normal Tissue,1,IGKV2D-40,3.0000000204277018
Normal Tissue,2,LCE2D,3.0000000171905197
Normal Tissue,3,LCE2C,3.000000016456526
Normal Tissue,4,EVPL,3.000000016163233
Normal Tissue,5,KRT79,3.0000000148271555
Normal Tissue,6,C1orf68,3.0000000134111184
Normal Tissue,7,SPRR2A,3.000000011903387
Normal Tissue,8,SPRR1A,3.00000001102303
Normal Tissue,9,DCD,3.000000010146415
Normal Tissue,10,KRT72,3.0000000100004875
Normal Tissue,11,LCE1B,3.0000000099648902
Normal Tissue,12,KRTAP4-7,3.0000000097199924
Normal Tissue,13,CXCL10,3.0000000092991517
Normal Tissue,14,ALOX12B,3.0000000083271194
Normal Tissue,15,LCE3D,3.0000000081889993
Normal Tissue,16,KRT75,3.0000000078233358
Normal Tissue,17,IGHV3-15,3.0000000074908124
Normal Tissue,18,DAPL1,3.0000000074319932
Normal Tissue,19,LY6G6C,3.0000000072412285
Metastasis - Primary,0,PF4,8.15807474907615e-08
Metastasis - Primary,1,IGHV1-3,6.50347740105417e-08
Metastasis - Primary,2,GJB3,5.99639480292069e-08
Metastasis - Primary,3,GP1BB,5.848600226343592e-08
Metastasis - Primary,4,LCE3D,5.756025389658248e-08
Metastasis - Primary,5,TGM3,5.550936821308028e-08
Metastasis - Primary,6,RPTN,5.3818323575427485e-08
Metastasis - Primary,7,KRT73,5.208134012946175e-08
Metastasis - Primary,8,SPRR2B,4.930660768565076e-08
Metastasis - Primary,9,POF1B,4.6727761215947794e-08
Metastasis - Primary,10,SSX1,4.4549839817165093e-08
Metastasis - Primary,11,LCE1C,4.397869313166325e-08
Metastasis - Primary,12,SPRR2G,4.142251741612313e-08
