query_idx,query_id,query_class,rank,neighbor_id,neighbor_class,cosine,same_class
498,GTEX-RVPU-0008-SM-3NM8B,Normal Tissue,0,GTEX-WRHU-0008-SM-4MVPB,Normal Tissue,0.9996792078018188,True
498,GTEX-RVPU-0008-SM-3NM8B,Normal Tissue,1,GTEX-WWYW-0008-SM-4MVPF,Normal Tissue,0.9984662532806396,True
498,GTEX-RVPU-0008-SM-3NM8B,Normal Tissue,2,GTEX-Y9LG-0008-SM-4VBRJ,Normal Tissue,0.9967357516288757,True
498,GTEX-RVPU-0008-SM-3NM8B,Normal Tissue,3,GTEX-UJHI-0008-SM-4IHL1,Normal Tissue,0.9960474371910095,True
498,GTEX-RVPU-0008-SM-3NM8B,Normal Tissue,4,GTEX-OHPM-0008-SM-4E3IP,Normal Tissue,0.9960421323776245,True
498,GTEX-RVPU-0008-SM-3NM8B,Normal Tissue,5,GTEX-Y8E4-0008-SM-4V6FW,Normal Tissue,0.9948838353157043,True
498,GTEX-RVPU-0008-SM-3NM8B,Normal Tissue,6,GTEX-R55F-0008-SM-48FE6,Normal Tissue,0.9946472644805908,True
498,GTEX-RVPU-0008-SM-3NM8B,Normal Tissue,7,GTEX-ZPIC-0008-SM-4E3JF,Normal Tissue,0.9938746094703674,True
498,GTEX-RVPU-0008-SM-3NM8B,Normal Tissue,8,GTEX-VUSG-0008-SM-4KL24,Normal Tissue,0.9933961629867554,True
498,GTEX-RVPU-0008-SM-3NM8B,Normal Tissue,9,GTEX-WVJS-0008-SM-4MVPC,Normal Tissue,0.9932199716567993,True
675,GTEX-ZAJG-0126-SM-5HL94,Normal Tissue,0,GTEX-1497J-0226-SM-5QGPU,Normal Tissue,0.998458206653595,True
675,GTEX-ZAJG-0126-SM-5HL94,Normal Tissue,1,GTEX-147F4-0226-SM-5QGPW,Normal Tissue,0.998081386089325,True
675,GTEX-ZAJG-0126-SM-5HL94,Normal Tissue,2,GTEX-W5X1-2526-SM-3GILC,Normal Tissue,0.997663676738739,True
675,GTEX-ZAJG-0126-SM-5HL94,Normal Tissue,3,GTEX-TMZS-0126-SM-3DB9Q,Normal Tissue,0.9971156716346741,True
675,GTEX-ZAJG-0126-SM-5HL94,Normal Tissue,4,GTEX-1313W-0626-SM-5EQ4H,Normal Tissue,0.9966273307800293,True
675,GTEX-ZAJG-0126-SM-5HL94,Normal Tissue,5,GTEX-ZVP2-0326-SM-57WBP,Normal Tissue,0.995495080947876,True
675,GTEX-ZAJG-0126-SM-5HL94,Normal Tissue,6,GTEX-Y5LM-1926-SM-5RQJH,Normal Tissue,0.995487630367279,True
675,GTEX-ZAJG-0126-SM-5HL94,Normal Tissue,7,GTEX-11ZU8-0126-SM-5EQ58,Normal Tissue,0.9954652190208435,True
675,GTEX-ZAJG-0126-SM-5HL94,Normal Tissue,8,GTEX-Y3IK-1626-SM-4YCF5,Normal Tissue,0.9952550530433655,True
675,GTEX-ZAJG-0126-SM-5HL94,Normal Tissue,9,GTEX-1399S-0126-SM-5IJCF,Normal Tissue,0.9943529963493347,True
779,GTEX-13VXU-0626-SM-5L3F9,Normal Tissue,0,GTEX-14A6H-0126-SM-5QGPK,Normal Tissue,0.9986647367477417,True
779,GTEX-13VXU-0626-SM-5L3F9,Normal Tissue,1,GTEX-Y5V6-2326-SM-4VDSA,Normal Tissue,0.9982900023460388,True
779,GTEX-13VXU-0626-SM-5L3F9,Normal Tissue,2,GTEX-133LE-2326-SM-5K7W3,Normal Tissue,0.9982374310493469,True
779,GTEX-13VXU-0626-SM-5L3F9,Normal Tissue,3,GTEX-11DZ1-0126-SM-5985Q,Normal Tissue,0.9981032609939575,True
