,Primary Tumor,Metastasis,Benign Nevus,Metastasis - Primary,Tumor - Normal
CRCT1,3.00000002600882,2.9999999833598543,3.0000000175551267,-4.2648965692393404e-08,-1.2870789323216059e-08
LCE2C,3.0000000219581997,2.999999997141425,3.0000000030259537,-2.4816774857328028e-08,6.523858786522396e-09
MAGEB6,3.0000000213984412,3.0000000117585053,3.0000000054259663,-9.639935960592538e-09,1.115250691796632e-08
CCL11,3.000000019739813,3.000000000788817,3.000000017961606,-1.8950995883670885e-08,-7.697291248831561e-09
SPRR2D,3.0000000184793048,3.000000002238307,2.999999971782111,-1.624099787989053e-08,3.857669472751013e-08
CRYBB2,3.0000000172756245,2.999999996002499,2.9999999812520715,-2.1273125483389776e-08,2.5386990287756817e-08
LCE6A,3.000000015913933,3.0000000071779716,3.0000000107378195,-8.735961287698046e-09,8.08132671892281e-10
DEFB4A,3.0000000154975917,3.000000012314518,3.0000000017816606,-3.183073804535752e-09,1.2124394377366343e-08
ERVFRD-1,3.0000000147214707,2.9999999996947566,2.9999999961563346,-1.5026714095256466e-08,1.105177904747734e-08
LCE3D,3.0000000145459045,3.0000000028749736,3.000000014438229,-1.1670930888385556e-08,-5.727789798015692e-09
KRT1,3.000000011639127,2.9999999990664095,2.9999999784505222,-1.2572717533743116e-08,2.6902245764404142e-08
IGKV2D-40,3.000000011001248,3.0000000040523283,2.9999999987042467,-6.948919661908803e-09,8.822541364139624e-09
SFTA2,3.0000000093132257,2.9999999935522843,3.0000000121628703,-1.57609414408455e-08,-1.0730115018731112e-08
DSG1,3.0000000089356034,3.0000000013569883,2.9999999955028254,-7.57861506883728e-09,9.643470466613735e-09
LCE2A,3.000000008457973,3.0000000003131055,2.999999999600062,-8.144867447157367e-09,4.785476903634844e-09
LCE3A,3.0000000082671017,3.00000000237853,3.0000000166860015,-5.8885718523526975e-09,-1.136318550365445e-08
FLG2,3.0000000074151285,3.00000000099669,3.0000000190940552,-6.418438669442139e-09,-1.488814582728537e-08
KRT6B,3.000000006422093,2.999999996460957,3.0000000024700295,-9.961135916114472e-09,-1.0285043927638071e-09
KRT2,3.0000000054219456,3.00000000427098,3.0000000215996305,-1.1509655450936407e-09,-1.6753167741967445e-08
C1orf189,3.000000005192123,2.9999999953281153,3.0000000027534752,-9.864007832760535e-09,-2.4933561881823607e-09
AQP5,3.00000000489466,2.9999999993469046,2.999999993197296,-5.547755144164057e-09,8.923486394252222e-09
TGM3,3.000000004060445,3.0000000048179594,2.9999999782758886,7.575144955751512e-10,2.6163313293636747e-08
FGF9,3.0000000037195256,3.0000000050095568,2.999999993681456,1.290031192979768e-09,1.0683085083229571e-08
DEFB103B,3.000000003342212,2.99999999945298,2.999999955337009,-3.8892320475270026e-09,4.606058690015402e-08
KRT79,3.000000001868328,2.999999996096823,2.9999999644979485,-5.771505051654913e-09,3.448462715383016e-08
SSX1,3.000000000419095,2.999999996793568,2.9999999699142315,-3.625526989736727e-09,2.8692100251248576e-08
TBX20,3.000000000284784,2.999999998315592,2.999999985584746,-1.9691923647258136e-09,1.371544211536957e-08
OMP,3.00000000022701,2.999999996851296,2.999999999028185,-3.375713930608981e-09,-4.890319260653087e-10
RPL34P34,3.0,3.0,3.0,0.0,0.0
TOP3BP1,3.0,3.0,3.0,0.0,0.0
FAM187B2P,3.0,3.0,3.0,0.0,0.0
PPP1R14BP2,3.0,3.0,3.0,0.0,0.0
ACER1,3.0,3.0,3.0,0.0,0.0
FXYD6P2,3.0,3.0,3.0,0.0,0.0
RNA5S9,3.0,3.0,3.0,0.0,0.0
DMRTA1,3.0,3.0,3.0,0.0,0.0
AGBL5-AS1,3.0,3.0,3.0,0.0,0.0
IGLV5-48,3.0,3.0,3.0,0.0,0.0
TRBV5-1,3.0,3.0,3.0,0.0,0.0
PNMT,3.0,3.0,3.0,0.0,0.0
C22orf31,3.0,3.0,3.0,0.0,0.0
PF4V1,3.0,3.0,3.0,0.0,0.0
CHRNA9,3.0,3.0,3.0,0.0,0.0
S100P,3.0,3.0,3.0,0.0,0.0
RPS26P21,3.0,3.0,3.0,0.0,0.0
TRAV8-6,3.0,3.0,3.0,0.0,0.0
RPL23AP95,3.0,3.0,3.0,0.0,0.0
SYNE1-AS1,3.0,3.0,3.0,0.0,0.0
HOXC13-AS,3.0,3.0,3.0,0.0,0.0
BPIFB4,3.0,3.0,3.0,0.0,0.0
LURAP1L-AS1,3.0,3.0,3.0,0.0,0.0
SIAH2-AS1,3.0,3.0,3.0,0.0,0.0
PKNOX2-AS1,3.0,3.0,3.0,0.0,0.0
RN7SKP271,3.0,3.0,3.0,0.0,0.0
FERP1,3.0,3.0,3.0,0.0,0.0
FAM83B,3.0,3.0,3.0,0.0,0.0
GPAA1P1,3.0,3.0,3.0,0.0,0.0
PPIAP6,3.0,3.0,3.0,0.0,0.0
RPL29P24,3.0,3.0,3.0,0.0,0.0
SDHAP2,3.0,3.0,3.0,0.0,0.0
RAP1AP,3.0,3.0,3.0,0.0,0.0
MTHFD2P1,3.0,3.0,3.0,0.0,0.0
HCFC1-AS1,3.0,3.0,3.0,0.0,0.0
TRGV3,3.0,3.0,3.0,0.0,0.0
EIF5AP3,3.0,3.0,3.0,0.0,0.0
HCG23,3.0,3.0,3.0,0.0,0.0
RPS9P1,3.0,3.0,3.0,0.0,0.0
FOXD1-AS1,3.0,3.0,3.0,0.0,0.0
RPL21P134,3.0,3.0,3.0,0.0,0.0
RPSAP34,3.0,3.0,3.0,0.0,0.0
RNVU1-6,3.0,3.0,3.0,0.0,0.0
RPS27AP2,3.0,3.0,3.0,0.0,0.0
RPS15AP40,3.0,3.0,3.0,0.0,0.0
HIF1A-AS2,3.0,3.0,3.0,0.0,0.0
OVCH1-AS1,3.0,3.0,3.0,0.0,0.0
RPL23AP64,3.0,3.0,3.0,0.0,0.0
CYP4F29P,3.0,3.0,3.0,0.0,0.0
POLD2P1,3.0,3.0,3.0,0.0,0.0
IGKV2D-28,3.0,3.0,3.0,0.0,0.0
CST4,3.0,3.0,3.0,0.0,0.0
DENND6A-AS1,3.0,3.0,3.0,0.0,0.0
TRGV4,3.0,3.0,3.0,0.0,0.0
KHDC1L,3.0,3.0,3.0,0.0,0.0
RPL23AP63,3.0,3.0,3.0,0.0,0.0
CETN4P,3.0,3.0,3.0,0.0,0.0
BMS1P9,3.0,3.0,3.0,0.0,0.0
PHKA1P1,3.0,3.0,3.0,0.0,0.0
TRAV12-2,3.0,3.0,3.0,0.0,0.0
