ranking,rank,gene,score
Primary Tumor,0,SPRR2D,3.000000028263147
Primary Tumor,1,TRIM71,3.0000000201317665
Primary Tumor,2,DEFB103B,3.0000000197485504
Primary Tumor,3,LCE5A,3.0000000172757346
Primary Tumor,4,FLRT3,3.0000000155091078
Primary Tumor,5,IGHV3-15,3.000000013426567
Primary Tumor,6,CRCT1,3.000000013132194
Primary Tumor,7,KRT27,3.0000000126163306
Primary Tumor,8,POU3F3,3.0000000107635665
Primary Tumor,9,LOR,3.0000000093037036
Primary Tumor,10,SPRR2A,3.0000000090374503
Primary Tumor,11,ITLN2,3.0000000090153174
Primary Tumor,12,IGKV2D-40,3.000000008692344
Primary Tumor,13,IGFL1,3.0000000083149065
Primary Tumor,14,LGALS7,3.0000000073471003
Primary Tumor,15,NPTX2,3.000000006605458
Primary Tumor,16,KRT79,3.000000006434057
Primary Tumor,17,KRT6C,3.000000005971114
Primary Tumor,18,TGM3,3.00000000594675
Primary Tumor,19,CARD18,3.0000000055697793
Metastasis,0,DSG1,3.0000000199888324
Metastasis,1,TRIM71,3.0000000118112387
Metastasis,2,AQP5,3.000000008537407
Metastasis,3,KRT6B,3.000000008233654
Metastasis,4,IGLV10-54,3.0000000066824515
Metastasis,5,GJB3,3.0000000062089724
Metastasis,6,LCE2D,3.0000000054926845
Metastasis,7,SPRR2A,3.0000000049012736
Metastasis,8,CRYBB2,3.0000000048716675
Metastasis,9,MAGEB6,3.0000000047799484
Metastasis,10,LCE6A,3.000000004535515
Metastasis,11,SPRR2D,3.000000003558759
Metastasis,12,FLG2,3.000000003345866
Metastasis,13,FGF9,3.0000000032484295
Metastasis,14,ERVFRD-1,3.0000000028001352
Metastasis,15,OLIG2,3.000000002352711
Metastasis,16,TGM3,3.000000002262675
Metastasis,17,LCE3A,3.000000002093803
Metastasis,18,LCE5A,3.0000000020364666
Metastasis,19,SSX1,3.000000001963197
Benign Nevus,0,DEFB4B,3.0000000387313777
Benign Nevus,1,DEFB103B,3.0000000267289577
Benign Nevus,2,SFTA2,3.0000000223328245
Benign Nevus,3,CCL11,3.0000000222882135
Benign Nevus,4,LCE4A,3.000000021642909
Benign Nevus,5,OMP,3.0000000204890966
Benign Nevus,6,C1orf189,3.0000000201165675
Benign Nevus,7,KRT6C,3.0000000193715097
Benign Nevus,8,LCE5A,3.0000000167972725
Benign Nevus,9,LCE2C,3.0000000147637396
Benign Nevus,10,SPRR2A,3.000000013529529
Benign Nevus,11,LCE3E,3.0000000126068826
Benign Nevus,12,IGLV10-54,3.000000011175871
Benign Nevus,13,CRYBB2,3.0000000106170774
Benign Nevus,14,MAGEC1,3.0000000104308127
Benign Nevus,15,KRT12,3.0000000102445483
Benign Nevus,16,ERVFRD-1,3.000000008544157
Benign Nevus,17,SLPI,3.000000008195639
Benign Nevus,18,GJB3,3.000000008195639
Benign Nevus,19,KRT31,3.0000000081387865
Metastasis - Primary,0,DSG1,2.5699650851862543e-08
Metastasis - Primary,1,PPBP,1.739577770720757e-08
Metastasis - Primary,2,KRT12,1.7083652714688924e-08
Metastasis - Primary,3,CRYBB2,1.388607362429184e-08
Metastasis - Primary,4,AQP5,1.3771584317368024e-08
Metastasis - Primary,5,IGLV10-54,1.1856465587101184e-08
Metastasis - Primary,6,SPRR2F,1.0285613694094309e-08
Metastasis - Primary,7,FGF9,9.60190194021493e-09
Metastasis - Primary,8,KRT6B,7.485029485110317e-09
Metastasis - Primary,9,LCE3A,6.806074814846852e-09
Metastasis - Primary,10,MAGEB6,6.711877720277926e-09
Metastasis - Primary,11,GJB2,6.677218333805968e-09
Metastasis - Primary,12,CCL11,6.664559126789982e-09
Metastasis - Primary,13,OLIG2,5.871040542615447e-09
Metastasis - Primary,14,SFRP2,5.6995328456821426e-09
Metastasis - Primary,15,GJB3,5.4846105435046866e-09
Metastasis - Primary,16,LCE2D,5.3190296611660415e-09
Metastasis - Primary,17,SOSTDC1,5.143630410486821e-09
Metastasis - Primary,18,TBX20,4.0500509612684255e-09
Metastasis - Primary,19,PF4,3.5223122196725853e-09
Tumor - Normal,0,LCE3D,5.551010984206073e-08
Tumor - Normal,1,OLIG2,5.3061370852702794e-08
Tumor - Normal,2,LOR,3.3483870787165415e-08
Tumor - Normal,3,TRIM71,3.143145699269212e-08
Tumor - Normal,4,MAGEB6,3.094693479255284e-08
Tumor - Normal,5,AQP5,2.8473705171450092e-08
Tumor - Normal,6,POU3F3,2.57908241430016e-08
Tumor - Normal,7,PF4,2.5052109720036242e-08
Tumor - Normal,8,SPRR2D,2.3225056988707138e-08
Tumor - Normal,9,KRT6B,2.2838194002616774e-08
Tumor - Normal,10,CRCT1,2.158692424814035e-08
Tumor - Normal,11,FLRT3,2.1386723503269423e-08
Tumor - Normal,12,LCE2D,1.8359015641067344e-08
Tumor - Normal,13,KRT27,1.6656751089527688e-08
Tumor - Normal,14,CARD18,1.589745535213183e-08
Tumor - Normal,15,ITLN2,1.4384171631576237e-08
Tumor - Normal,16,FLG2,1.4198255904318557e-08
Tumor - Normal,17,IGHV3-15,1.3811785937178911e-08
Tumor - Normal,18,DSG1,1.2627989320890265e-08
Tumor - Normal,19,DEFB103A,1.2402857407778356e-08
[baseline] node degree,0,SPRR2F,16.0
[baseline] node degree,1,CDSN,14.0
[baseline] node degree,2,SPRR2A,12.0
[baseline] node degree,3,LCE2C,9.0
[baseline] node degree,4,LCE3E,8.0
[baseline] node degree,5,LCE3D,7.0
[baseline] node degree,6,LCE6A,7.0
[baseline] node degree,7,SPRR2D,6.0
[baseline] node degree,8,LCE4A,6.0
[baseline] node degree,9,LCE2D,6.0
[baseline] node degree,10,KRT79,6.0
[baseline] node degree,11,LCE2A,6.0
[baseline] node degree,12,KRT2,5.0
[baseline] node degree,13,LOR,5.0
[baseline] node degree,14,SPRR2G,5.0
[baseline] node degree,15,FLG2,4.0
[baseline] node degree,16,PF4,4.0
[baseline] node degree,17,CCL11,4.0
[baseline] node degree,18,KRT6B,3.0
[baseline] node degree,19,IGLV10-54,3.0
